probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.50349766,0.50349766,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,under_eye,0.3,34,0,0.10048490762710571
1,Abdullah Gul,0,0,Abdullah Gul,0.44069713,0.44069713,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,under_eye,0.3,34,1,0.12269043922424316
2,Abdullah Gul,0,0,Abdullah Gul,0.48717278,0.48717278,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,under_eye,0.3,34,2,0.10834705829620361
3,Abdullah Gul,0,0,Abdullah Gul,0.50091743,0.50091743,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,under_eye,0.3,34,3,0.07874417304992676
4,Abdullah Gul,0,0,Abdullah Gul,0.3981219,0.3981219,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,under_eye,0.3,34,4,0.15904390811920166
5,Abdullah Gul,0,0,Abdullah Gul,0.37907672,0.37907672,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,under_eye,0.3,34,5,0.004808366298675537
6,Abdullah Gul,0,0,Abdullah Gul,0.35810208,0.35810208,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,under_eye,0.3,34,6,0.10116040706634521
7,Abdullah Gul,0,0,Abdullah Gul,0.4458981,0.4458981,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,under_eye,0.3,34,7,0.07295706868171692
8,Ciro Gomes,15,15,Ciro Gomes,0.37479493,0.37479493,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,under_eye,0.3,34,8,0.18027296662330627
9,Ciro Gomes,15,15,Ciro Gomes,0.28168803,0.28168803,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,under_eye,0.3,34,9,0.27131134271621704
10,Ciro Gomes,15,15,Ciro Gomes,0.2680229,0.2680229,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,under_eye,0.3,34,10,0.40670502185821533
11,Ciro Gomes,15,15,Ciro Gomes,0.3851844,0.3851844,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,under_eye,0.3,34,11,0.1716609001159668
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.3996659,0.3996659,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,under_eye,0.3,34,12,0.20781058073043823
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.31238383,0.31238383,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,under_eye,0.3,34,13,0.18563312292099
14,Ricardo Sanchez,72,72,Ricardo Sanchez,0.24147947,0.24147947,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,under_eye,0.3,34,14,0.3729509562253952
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.471816,0.471816,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,under_eye,0.3,34,15,0.12079721689224243
