probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.41131496,0.41131496,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,0,0.19266760349273682
1,Abdullah Gul,0,0,Abdullah Gul,0.4953187,0.4953187,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,1,0.06806886196136475
2,Abdullah Gul,0,0,Abdullah Gul,0.5099863,0.5099863,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,2,0.08553355932235718
3,Abdullah Gul,0,0,Abdullah Gul,0.37323365,0.37323365,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,3,0.20642796158790588
4,Abdullah Gul,0,0,Abdullah Gul,0.4297806,0.4297806,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,4,0.1273851990699768
5,Abdullah Gul,0,0,Abdullah Gul,0.3272987,0.3272987,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,5,0.056586384773254395
6,Abdullah Gul,0,0,Abdullah Gul,0.4507906,0.4507906,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,6,0.008471876382827759
7,Abdullah Gul,0,0,Abdullah Gul,0.40846133,0.40846133,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,7,0.11039382219314575
8,Ciro Gomes,15,15,Ciro Gomes,0.48027563,0.48027563,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,8,0.07479226589202881
9,Ciro Gomes,15,15,Ciro Gomes,0.41712686,0.41712686,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,9,0.1358725130558014
10,Ciro Gomes,15,15,Ciro Gomes,0.669342,0.669342,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_cheek,0.3,34,10,0.005385935306549072
