probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.35760844,0.35760844,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,0,0.03236708045005798
1,Abdullah Gul,0,0,Abdullah Gul,0.40068796,0.40068796,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,1,0.05471479892730713
2,Abdullah Gul,0,0,Abdullah Gul,0.33351707,0.33351707,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,2,0.08615219593048096
3,Abdullah Gul,0,0,Abdullah Gul,0.434217,0.434217,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,3,0.09594836831092834
4,Abdullah Gul,0,0,Abdullah Gul,0.550563,0.550563,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,4,0.04383355379104614
5,Ciro Gomes,15,15,Ciro Gomes,0.46646047,0.46646047,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,8,0.09093999862670898
6,Ciro Gomes,15,15,Ciro Gomes,0.4864596,0.4864596,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,9,0.06664752960205078
7,Ciro Gomes,15,15,Ciro Gomes,0.58024234,0.58024234,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,10,0.06382161378860474
8,Ciro Gomes,15,15,Ciro Gomes,0.44919655,0.44919655,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,11,0.022434383630752563
9,Ricardo Sanchez,72,72,Ricardo Sanchez,0.45463163,0.45463163,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,12,0.04169821739196777
10,Ricardo Sanchez,72,72,Ricardo Sanchez,0.38409656,0.38409656,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,13,-0.004569709300994873
11,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5066803,0.5066803,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,14,0.043647587299346924
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5000361,0.5000361,True,True,True,False,False,False,adaface_ir50_wf4m,normal_mascot_sticker,15,0.0542452335357666
