probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_name,model_short_name
0,Abdullah Gul,0,0,Abdullah Gul,0.60398257,0.60398257,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
1,Abdullah Gul,0,0,Abdullah Gul,0.5633876,0.5633876,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
2,Abdullah Gul,0,0,Abdullah Gul,0.59551984,0.59551984,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
3,Abdullah Gul,0,0,Abdullah Gul,0.5796616,0.5796616,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
4,Abdullah Gul,0,0,Abdullah Gul,0.5571658,0.5571658,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
5,Abdullah Gul,0,0,Abdullah Gul,0.3838851,0.3838851,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
6,Abdullah Gul,0,0,Abdullah Gul,0.4592625,0.4592625,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
7,Abdullah Gul,0,0,Abdullah Gul,0.51885515,0.51885515,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
8,Ciro Gomes,15,15,Ciro Gomes,0.5550679,0.5550679,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
9,Ciro Gomes,15,15,Ciro Gomes,0.5529994,0.5529994,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
10,Ciro Gomes,15,15,Ciro Gomes,0.6747279,0.6747279,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
11,Ciro Gomes,15,15,Ciro Gomes,0.5568453,0.5568453,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.6074765,0.6074765,True,True,True,False,False,False,minchul/cvlface_adaface_ir101_webface12m,adaface_ir101_wf12m
