probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.386824,0.386824,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,0,0.21715855598449707
1,Abdullah Gul,0,0,Abdullah Gul,0.55124426,0.55124426,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,1,0.012143313884735107
2,Abdullah Gul,0,0,Abdullah Gul,0.55818975,0.55818975,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,2,0.03733009099960327
3,Abdullah Gul,0,0,Abdullah Gul,0.46431863,0.46431863,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,3,0.11534297466278076
4,Abdullah Gul,0,0,Abdullah Gul,0.48586267,0.48586267,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,4,0.07130312919616699
5,Abdullah Gul,0,0,Abdullah Gul,0.35681522,0.35681522,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,5,0.02706986665725708
6,Abdullah Gul,0,0,Abdullah Gul,0.26855648,0.26855648,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,6,0.1907060146331787
7,Abdullah Gul,0,0,Abdullah Gul,0.29269704,0.29269704,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,7,0.22615811228752136
8,Ciro Gomes,15,15,Ciro Gomes,0.52353024,0.52353024,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,8,0.031537652015686035
9,Ciro Gomes,15,15,Ciro Gomes,0.49155563,0.49155563,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,9,0.0614437460899353
10,Ciro Gomes,15,15,Ciro Gomes,0.559553,0.559553,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,10,0.11517488956451416
11,Ciro Gomes,15,15,Ciro Gomes,0.3245435,0.3245435,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,11,0.23230180144309998
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5926062,0.5926062,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,12,0.014870285987854004
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.46596038,0.46596038,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,13,0.032056570053100586
14,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5453501,0.5453501,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,14,0.06908035278320312
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.40042108,0.40042108,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,15,0.19219213724136353
16,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5733664,0.5733664,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,16,0.13924705982208252
17,Roger Moore,76,76,Roger Moore,0.5399495,0.5399495,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,17,0.04462462663650513
18,Roger Moore,76,76,Roger Moore,0.48215654,0.48215654,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,18,0.05975493788719177
19,Roger Moore,76,76,Roger Moore,0.38283026,0.38283026,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,19,0.10065919160842896
20,Roger Moore,76,76,Roger Moore,0.45630354,0.45630354,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,20,0.12140464782714844
21,Edmund Stoiber,21,21,Edmund Stoiber,0.2703107,0.2703107,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,21,0.10689657926559448
