probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.48811242,0.48811242,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,0,0.1158701479434967
1,Abdullah Gul,0,0,Abdullah Gul,0.4493366,0.4493366,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,1,0.1140509843826294
2,Abdullah Gul,0,0,Abdullah Gul,0.45628455,0.45628455,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,2,0.13923528790473938
3,Abdullah Gul,0,0,Abdullah Gul,0.47845864,0.47845864,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,3,0.10120296478271484
4,Abdullah Gul,0,0,Abdullah Gul,0.30940294,0.30940294,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,4,0.24776285886764526
5,Abdullah Gul,0,0,Abdullah Gul,0.37824917,0.37824917,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,5,0.0056359171867370605
6,Abdullah Gul,0,0,Abdullah Gul,0.35834497,0.35834497,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,6,0.1009175181388855
7,Abdullah Gul,0,0,Abdullah Gul,0.4092764,0.4092764,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,7,0.10957875847816467
8,Ciro Gomes,15,15,Ciro Gomes,0.3502003,0.3502003,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,8,0.20486760139465332
9,Ciro Gomes,15,93,Victoria Clarke,0.19979848,0.08433984,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,9,0.46865953505039215
10,Ciro Gomes,15,15,Ciro Gomes,0.2723236,0.2723236,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,10,0.4024043083190918
11,Ciro Gomes,15,15,Ciro Gomes,0.354375,0.354375,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,11,0.2024703025817871
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.2909088,0.2909088,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,12,0.31656765937805176
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.18825313,0.18825313,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,13,0.3097638189792633
14,Ricardo Sanchez,72,95,William Macy,0.1769956,0.1708479,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,14,0.44358253479003906
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.386406,0.386406,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,15,0.20620721578598022
16,Ricardo Sanchez,72,80,Scott Peterson,0.15027206,0.05138862,False,False,False,True,True,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,16,0.6612248420715332
17,Roger Moore,76,76,Roger Moore,0.38266575,0.38266575,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,17,0.20190834999084473
18,Roger Moore,76,76,Roger Moore,0.37173736,0.37173736,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,18,0.17017412185668945
19,Roger Moore,76,76,Roger Moore,0.1614955,0.1614955,True,False,False,True,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,19,0.32199394702911377
20,Roger Moore,76,76,Roger Moore,0.41291583,0.41291583,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,20,0.16479235887527466
21,Edmund Stoiber,21,95,William Macy,0.15651113,0.13350633,False,False,False,True,True,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,21,0.24370095133781433
22,Edmund Stoiber,21,21,Edmund Stoiber,0.39069283,0.39069283,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,22,0.01314350962638855
23,Edmund Stoiber,21,21,Edmund Stoiber,0.1716062,0.1716062,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,23,0.30914874374866486
24,Edmund Stoiber,21,62,Norah Jones,0.13349706,0.114051744,False,False,False,True,True,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,24,0.28122158348560333
25,Edmund Stoiber,21,95,William Macy,0.16324864,0.15646836,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,25,0.33115896582603455
26,Edmund Stoiber,21,95,William Macy,0.15638348,0.079844475,False,False,False,True,True,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,26,0.2821873426437378
27,Edmund Stoiber,21,93,Victoria Clarke,0.15637283,0.08883707,False,False,False,True,True,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,27,0.10333132743835449
28,Edmund Stoiber,21,95,William Macy,0.13688773,0.059608147,False,False,False,True,True,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,28,0.22671766579151154
29,Carmen Electra,12,12,Carmen Electra,0.18194693,0.18194693,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,29,0.1962794065475464
30,Carmen Electra,12,57,Michael Chang,0.14748088,0.068591364,False,False,False,True,True,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,30,0.5752567574381828
31,Carmen Electra,12,98,Yasser Arafat,0.16482106,0.16317588,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,31,0.3715789318084717
32,Carmen Electra,12,12,Carmen Electra,0.31907862,0.31907862,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,32,0.2160922884941101
33,Carmen Electra,12,12,Carmen Electra,0.31296298,0.31296298,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,33,0.38124755024909973
34,Tung Chee-hwa,92,92,Tung Chee-hwa,0.41799274,0.41799274,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,34,-0.0010079443454742432
35,Tung Chee-hwa,92,92,Tung Chee-hwa,0.17731111,0.17731111,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,35,0.42835278809070587
36,Tung Chee-hwa,92,92,Tung Chee-hwa,0.44204402,0.44204402,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,36,0.07708591222763062
37,Tung Chee-hwa,92,92,Tung Chee-hwa,0.48536673,0.48536673,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,37,0.1504969298839569
38,Tung Chee-hwa,92,92,Tung Chee-hwa,0.3109321,0.3109321,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,38,0.17663851380348206
39,Tung Chee-hwa,92,92,Tung Chee-hwa,0.49539465,0.49539465,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,39,-0.026562273502349854
40,Tung Chee-hwa,92,93,Victoria Clarke,0.30051428,0.020629216,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,40,0.31070132181048393
41,Tung Chee-hwa,92,85,Susan Sarandon,0.12193668,0.11845152,False,False,False,True,True,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,41,0.358339861035347
42,Woody Allen,96,96,Woody Allen,0.44114846,0.44114846,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,42,0.20483535528182983
43,Woody Allen,96,96,Woody Allen,0.39049602,0.39049602,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,43,0.20764762163162231
44,Woody Allen,96,96,Woody Allen,0.31373397,0.31373397,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,44,0.0015123188495635986
45,Woody Allen,96,96,Woody Allen,0.21162893,0.21162893,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,45,0.16580034792423248
46,Kim Dae-jung,46,46,Kim Dae-jung,0.48764578,0.48764578,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,46,0.12041762471199036
47,Kim Dae-jung,46,46,Kim Dae-jung,0.33414298,0.33414298,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,47,0.04042205214500427
48,Kim Dae-jung,46,46,Kim Dae-jung,0.51220053,0.51220053,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,48,0.12474900484085083
49,Kim Dae-jung,46,46,Kim Dae-jung,0.36116108,0.36116108,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,49,0.2008627951145172
50,Kim Dae-jung,46,46,Kim Dae-jung,0.21042866,0.21042866,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,50,0.34948915243148804
51,Kim Dae-jung,46,46,Kim Dae-jung,0.4406764,0.4406764,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,51,0.007436573505401611
52,Kim Dae-jung,46,46,Kim Dae-jung,0.43091995,0.43091995,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,52,0.04143133759498596
53,Lleyton Hewitt,51,93,Victoria Clarke,0.23029697,0.12160763,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,53,0.31121590733528137
54,Lleyton Hewitt,51,51,Lleyton Hewitt,0.25721467,0.25721467,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,54,0.221177875995636
55,Lleyton Hewitt,51,51,Lleyton Hewitt,0.3687271,0.3687271,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,55,0.10100391507148743
56,Lleyton Hewitt,51,93,Victoria Clarke,0.34531152,0.21273902,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,56,0.3466927111148834
57,Lleyton Hewitt,51,93,Victoria Clarke,0.2775467,0.18889508,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,57,0.14317557215690613
58,Lleyton Hewitt,51,51,Lleyton Hewitt,0.37236702,0.37236702,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,58,0.2746439576148987
59,Lleyton Hewitt,51,51,Lleyton Hewitt,0.2297957,0.2297957,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,59,0.21521762013435364
60,Lleyton Hewitt,51,51,Lleyton Hewitt,0.42065376,0.42065376,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,60,-0.02883392572402954
61,Ben Affleck,4,4,Ben Affleck,0.3067707,0.3067707,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,61,0.0931037962436676
62,Ben Affleck,4,4,Ben Affleck,0.28168353,0.28168353,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,62,0.01979762315750122
63,Ben Affleck,4,4,Ben Affleck,0.52589107,0.52589107,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,63,-0.033292293548583984
64,Ben Affleck,4,4,Ben Affleck,0.5133906,0.5133906,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,64,-0.04204457998275757
65,Ben Affleck,4,4,Ben Affleck,0.3417228,0.3417228,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,65,-0.0365290641784668
66,Ben Affleck,4,4,Ben Affleck,0.50566757,0.50566757,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,66,-0.016201496124267578
67,Jeremy Greenstock,35,93,Victoria Clarke,0.30578122,0.25645375,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,67,0.42425596714019775
68,Jeremy Greenstock,35,35,Jeremy Greenstock,0.42686683,0.42686683,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,68,0.038157254457473755
69,Jeremy Greenstock,35,35,Jeremy Greenstock,0.38498932,0.38498932,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,69,0.3640574812889099
70,Jeremy Greenstock,35,35,Jeremy Greenstock,0.50831145,0.50831145,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,70,0.05623340606689453
71,Jeremy Greenstock,35,93,Victoria Clarke,0.29454753,0.2137245,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,71,0.24575942754745483
72,Jeremy Greenstock,35,35,Jeremy Greenstock,0.29906422,0.29906422,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,72,0.2820523977279663
73,Jeremy Greenstock,35,93,Victoria Clarke,0.24048978,0.15756418,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,73,0.29724957048892975
74,Jeremy Greenstock,35,93,Victoria Clarke,0.32463288,0.14534187,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,74,0.16842597723007202
75,David Anderson,19,19,David Anderson,0.27003348,0.27003348,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,75,0.09758779406547546
76,David Anderson,19,19,David Anderson,0.34061235,0.34061235,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,76,0.027167320251464844
77,David Anderson,19,0,Abdullah Gul,0.14221978,0.08949195,False,False,False,True,True,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,77,0.31693126261234283
78,David Anderson,19,19,David Anderson,0.18687083,0.18687083,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,78,0.1260065883398056
79,John Stockton,39,65,Paul Wolfowitz,0.2078012,0.16741447,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,79,0.02152121067047119
80,John Stockton,39,73,Rob Marshall,0.1262286,0.025497546,False,False,False,True,True,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,80,0.2267297301441431
81,Zhu Rongji,99,99,Zhu Rongji,0.2928447,0.2928447,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,83,0.07459858059883118
82,Zhu Rongji,99,93,Victoria Clarke,0.2821091,0.14157711,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,84,0.6384328752756119
83,Zhu Rongji,99,99,Zhu Rongji,0.38255292,0.38255292,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,85,0.14462566375732422
84,Zhu Rongji,99,99,Zhu Rongji,0.27294868,0.27294868,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,86,0.3923966884613037
85,Zhu Rongji,99,35,Jeremy Greenstock,0.12929873,0.0064396784,False,False,False,True,True,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,87,0.5603350475430489
86,Zhu Rongji,99,99,Zhu Rongji,0.4354838,0.4354838,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,88,0.08716613054275513
87,Zhu Rongji,99,99,Zhu Rongji,0.49033764,0.49033764,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,89,0.21638938784599304
88,Zhu Rongji,99,11,Carla Del Ponte,0.13882229,0.010784714,False,False,False,True,True,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,90,0.671738775447011
89,Mahmoud Abbas,53,53,Mahmoud Abbas,0.3748097,0.3748097,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,91,0.1619732677936554
90,Mahmoud Abbas,53,53,Mahmoud Abbas,0.38734877,0.38734877,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,92,0.11220937967300415
91,Mahmoud Abbas,53,0,Abdullah Gul,0.2042608,0.12679552,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,93,0.2934048920869827
92,Mahmoud Abbas,53,53,Mahmoud Abbas,0.20243242,0.20243242,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,94,0.3137621581554413
93,Mahmoud Abbas,53,53,Mahmoud Abbas,0.31236827,0.31236827,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,95,0.21725332736968994
94,Mahmoud Abbas,53,53,Mahmoud Abbas,0.21354333,0.21354333,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,96,0.23809975385665894
95,Mahmoud Abbas,53,53,Mahmoud Abbas,0.20946717,0.20946717,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,97,0.3571978807449341
96,Mahmoud Abbas,53,93,Victoria Clarke,0.19849515,0.11623502,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,98,0.5748989582061768
97,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.20331362,0.20331362,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,99,-0.003607809543609619
98,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.320728,0.320728,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,100,0.022965431213378906
99,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.18509415,0.18509415,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,101,0.17882120609283447
100,Gloria Macapagal Arroyo,25,30,Ian Thorpe,0.20338982,0.16637945,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,102,0.22509652376174927
101,Gloria Macapagal Arroyo,25,23,Erika Harold,0.18955468,0.061965887,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,103,0.2765082083642483
102,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.27080098,0.27080098,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,104,0.23446980118751526
103,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.29723227,0.29723227,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,105,0.04159128665924072
104,Gloria Macapagal Arroyo,25,25,Gloria Macapagal Arroyo,0.27532822,0.27532822,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,106,0.1356242299079895
105,Steven Spielberg,84,98,Yasser Arafat,0.20367172,0.13604604,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,107,0.5280057340860367
106,Steven Spielberg,84,98,Yasser Arafat,0.18642199,0.10781452,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,109,0.3447417914867401
107,Steven Spielberg,84,84,Steven Spielberg,0.23226002,0.23226002,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,110,0.4578501880168915
108,Steven Spielberg,84,84,Steven Spielberg,0.20808983,0.20808983,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,112,0.2518261671066284
109,Norm Coleman,63,63,Norm Coleman,0.33137515,0.33137515,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,113,0.0775211751461029
110,Norm Coleman,63,24,George W Bush,0.21458963,0.14665464,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,114,0.2078060805797577
111,Norm Coleman,63,14,Chanda Rubin,0.1695936,0.10561158,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,115,0.4755486100912094
112,Norm Coleman,63,63,Norm Coleman,0.3703363,0.3703363,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,116,0.06421130895614624
113,Norm Coleman,63,3,Ari Fleischer,0.16872357,0.109621376,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,117,0.2985168993473053
