probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.5022477,0.5022477,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,0,0.10189491510391235
1,Abdullah Gul,0,0,Abdullah Gul,0.4297275,0.4297275,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,1,0.13379532098770142
2,Abdullah Gul,0,0,Abdullah Gul,0.47758254,0.47758254,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,2,0.11796936392784119
3,Abdullah Gul,0,0,Abdullah Gul,0.46845087,0.46845087,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,3,0.11131587624549866
4,Abdullah Gul,0,0,Abdullah Gul,0.30349737,0.30349737,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,4,0.25381171703338623
5,Abdullah Gul,0,0,Abdullah Gul,0.37734443,0.37734443,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,5,0.006783246994018555
6,Abdullah Gul,0,0,Abdullah Gul,0.36519262,0.36519262,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,6,0.09417364001274109
7,Abdullah Gul,0,0,Abdullah Gul,0.40421104,0.40421104,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,7,0.11466431617736816
8,Ciro Gomes,15,15,Ciro Gomes,0.3610897,0.3610897,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,8,0.19397282600402832
9,Ciro Gomes,15,93,Victoria Clarke,0.19480363,0.066245385,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,9,0.4867830201983452
10,Ciro Gomes,15,93,Victoria Clarke,0.19583598,0.19401579,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,10,0.48068584501743317
11,Ciro Gomes,15,15,Ciro Gomes,0.3495813,0.3495813,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,11,0.20733481645584106
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.32602248,0.32602248,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,12,0.2813989222049713
13,Ricardo Sanchez,72,37,Joe Lieberman,0.19364214,0.14332448,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,13,0.35464777052402496
14,Ricardo Sanchez,72,95,William Macy,0.18695813,0.15911984,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,14,0.45531392097473145
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.4061865,0.4061865,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,15,0.18649354577064514
16,Ricardo Sanchez,72,6,Binyamin Ben-Eliezer,0.1480532,0.11188313,False,False,False,True,True,False,adaface_ir101_wf12m,adversarial_mascot_sticker,16,0.6008270084857941
17,Roger Moore,76,76,Roger Moore,0.35600695,0.35600695,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,17,0.2285993993282318
18,Roger Moore,76,76,Roger Moore,0.36864907,0.36864907,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,18,0.17330443859100342
19,Roger Moore,76,76,Roger Moore,0.20781583,0.20781583,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,19,0.27573293447494507
20,Roger Moore,76,76,Roger Moore,0.33225355,0.33225355,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,20,0.2454937994480133
