probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.5967735,0.5967735,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.3,34,0,0.007209062576293945
1,Abdullah Gul,0,0,Abdullah Gul,0.5461332,0.5461332,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.3,34,1,0.017254352569580078
2,Abdullah Gul,0,0,Abdullah Gul,0.58211154,0.58211154,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.3,34,2,0.013408303260803223
3,Abdullah Gul,0,0,Abdullah Gul,0.5443082,0.5443082,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.3,34,3,0.03535342216491699
4,Abdullah Gul,0,0,Abdullah Gul,0.53973967,0.53973967,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.3,34,4,0.017426133155822754
5,Abdullah Gul,0,0,Abdullah Gul,0.3453545,0.3453545,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.3,34,5,0.038530588150024414
6,Abdullah Gul,0,0,Abdullah Gul,0.45760283,0.45760283,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.3,34,6,0.0016596615314483643
7,Abdullah Gul,0,0,Abdullah Gul,0.5034655,0.5034655,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.3,34,7,0.015389680862426758
8,Ciro Gomes,15,15,Ciro Gomes,0.55434775,0.55434775,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.3,34,8,0.0007201433181762695
9,Ciro Gomes,15,15,Ciro Gomes,0.53356653,0.53356653,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.3,34,9,0.01943284273147583
10,Ciro Gomes,15,15,Ciro Gomes,0.6820363,0.6820363,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.3,34,10,-0.007308363914489746
11,Ciro Gomes,15,15,Ciro Gomes,0.5627889,0.5627889,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.3,34,11,-0.005943596363067627
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.6095875,0.6095875,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.3,34,12,-0.0021110177040100098
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.49689108,0.49689108,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.3,34,13,0.0011258721351623535
14,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5942363,0.5942363,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.3,34,14,0.02019411325454712
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5555357,0.5555357,True,True,True,False,False,False,adaface_ir101_wf12m,normal_mascot_sticker,landmark_relative,right_cheek,0.3,34,15,0.03707754611968994
