probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.44828093,0.44828093,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,0,0.1557016372680664
1,Abdullah Gul,0,0,Abdullah Gul,0.24383937,0.24383937,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,1,0.31954820454120636
2,Abdullah Gul,0,0,Abdullah Gul,0.4015409,0.4015409,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,2,0.1939789354801178
3,Abdullah Gul,0,0,Abdullah Gul,0.37113184,0.37113184,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,3,0.2085297703742981
4,Abdullah Gul,0,0,Abdullah Gul,0.26645565,0.26645565,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,4,0.2907101511955261
5,Abdullah Gul,0,0,Abdullah Gul,0.31828752,0.31828752,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,5,0.06559756398200989
6,Abdullah Gul,0,0,Abdullah Gul,0.30211294,0.30211294,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,6,0.1571495532989502
7,Abdullah Gul,0,0,Abdullah Gul,0.35126275,0.35126275,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,7,0.16759240627288818
8,Ciro Gomes,15,15,Ciro Gomes,0.32568598,0.32568598,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,8,0.22938191890716553
9,Ciro Gomes,15,15,Ciro Gomes,0.4152,0.4152,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,9,0.13779938220977783
10,Ciro Gomes,15,15,Ciro Gomes,0.47921127,0.47921127,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,10,0.1955166459083557
11,Ciro Gomes,15,15,Ciro Gomes,0.3379678,0.3379678,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,11,0.21887749433517456
12,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5422059,0.5422059,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,12,0.06527054309844971
13,Ricardo Sanchez,72,72,Ricardo Sanchez,0.39712238,0.39712238,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,13,0.10089457035064697
14,Ricardo Sanchez,72,72,Ricardo Sanchez,0.545241,0.545241,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,14,0.06918942928314209
15,Ricardo Sanchez,72,72,Ricardo Sanchez,0.49902144,0.49902144,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,15,0.09359177947044373
16,Ricardo Sanchez,72,72,Ricardo Sanchez,0.5429928,0.5429928,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,16,0.16962069272994995
17,Roger Moore,76,76,Roger Moore,0.35405827,0.35405827,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,17,0.23051583766937256
18,Roger Moore,76,76,Roger Moore,0.33131063,0.33131063,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,18,0.2106008529663086
19,Roger Moore,76,76,Roger Moore,0.42308968,0.42308968,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,19,0.060399770736694336
20,Roger Moore,76,76,Roger Moore,0.39889845,0.39889845,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,20,0.1788097321987152
21,Edmund Stoiber,21,21,Edmund Stoiber,0.20788792,0.20788792,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,21,0.16931936144828796
22,Edmund Stoiber,21,21,Edmund Stoiber,0.27620006,0.27620006,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,22,0.12763628363609314
23,Edmund Stoiber,21,21,Edmund Stoiber,0.28318095,0.28318095,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,23,0.19757398962974548
24,Edmund Stoiber,21,21,Edmund Stoiber,0.22075161,0.22075161,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,24,0.17452171444892883
25,Edmund Stoiber,21,21,Edmund Stoiber,0.24850368,0.24850368,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,25,0.2391236424446106
26,Edmund Stoiber,21,21,Edmund Stoiber,0.24653718,0.24653718,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,26,0.11549463868141174
27,Edmund Stoiber,21,6,Binyamin Ben-Eliezer,0.14924142,0.08660543,False,False,False,True,True,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,27,0.1055629700422287
28,Edmund Stoiber,21,92,Tung Chee-hwa,0.16696936,0.08518622,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,28,0.20113959163427353
29,Carmen Electra,12,23,Erika Harold,0.18348862,0.12340312,False,True,False,False,True,True,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,29,0.2548232227563858
30,Carmen Electra,12,12,Carmen Electra,0.5392137,0.5392137,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,30,0.10463440418243408
31,Carmen Electra,12,12,Carmen Electra,0.2795249,0.2795249,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,31,0.2552299201488495
32,Carmen Electra,12,12,Carmen Electra,0.337498,0.337498,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,32,0.19767290353775024
33,Carmen Electra,12,12,Carmen Electra,0.5903002,0.5903002,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,33,0.10391032695770264
34,Tung Chee-hwa,92,92,Tung Chee-hwa,0.333749,0.333749,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,chin,0.3,34,34,0.08323580026626587
