probe_row,identity,true_db_idx,top1_db_idx,top1_identity,top1_similarity,true_similarity,rank1_correct,accepted,correct_accept,false_reject,misidentified,misaccept,model_short_name,condition,placement,location,patch_size_ratio,patch_size_px,base_probe_row,similarity_drop_from_clean
0,Abdullah Gul,0,0,Abdullah Gul,0.5460056,0.5460056,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,left_cheek,0.3,34,0,0.05797696113586426
1,Abdullah Gul,0,0,Abdullah Gul,0.46510726,0.46510726,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,left_cheek,0.3,34,1,0.09828031063079834
2,Abdullah Gul,0,0,Abdullah Gul,0.49895304,0.49895304,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,left_cheek,0.3,34,2,0.09656679630279541
3,Abdullah Gul,0,0,Abdullah Gul,0.51161104,0.51161104,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,left_cheek,0.3,34,3,0.0680505633354187
4,Abdullah Gul,0,0,Abdullah Gul,0.49262196,0.49262196,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,left_cheek,0.3,34,4,0.06454384326934814
5,Abdullah Gul,0,0,Abdullah Gul,0.38755575,0.38755575,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,left_cheek,0.3,34,5,-0.0036706626415252686
6,Abdullah Gul,0,0,Abdullah Gul,0.41974252,0.41974252,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,left_cheek,0.3,34,6,0.03951996564865112
7,Abdullah Gul,0,0,Abdullah Gul,0.4724363,0.4724363,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,left_cheek,0.3,34,7,0.046418845653533936
8,Ciro Gomes,15,15,Ciro Gomes,0.33767262,0.33767262,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,left_cheek,0.3,34,8,0.21739527583122253
9,Ciro Gomes,15,15,Ciro Gomes,0.52024174,0.52024174,True,True,True,False,False,False,adaface_ir101_wf12m,adversarial_mascot_sticker,landmark_relative,left_cheek,0.3,34,9,0.03275763988494873
